37.4,0.203,0.593,0.651,0.086,0,-1.21
37.8,0.215,0.607,0.601,0.253,0,-1.21
36.7,0.227,0.626,0.66,0.295,0,-1.21
34.8,0.241,0.648,0.645,0.151,0,-1.21
32.7,0.255,0.671,0.633,0.019,0,-1.21
31.5,0.264,0.691,0.68,0,0,-1.21
30.7,0.263,0.707,0.673,0.059,0,-1.21
28.1,0.259,0.719,0.677,0.228,0,-1.21
27.1,0.256,0.725,0.739,0.315,0,-1.21
29.4,0.257,0.737,0.702,0.195,0.015,-1.21
31.9,0.25,0.746,0.704,0.037,0.089,-1.21
33.7,0.246,0.751,0.724,0,0.156,-1.21
34.5,0.251,0.755,0.738,0.036,0.201,-1.21
34.2,0.261,0.758,0.696,0.197,0.2,-1.21
34,0.27,0.762,0.692,0.326,0.161,-1.21
34.2,0.282,0.766,0.655,0.24,0.101,-1.21
38,0.302,0.771,0.616,0.064,0.031,-1.21
40.9,0.32,0.773,0.635,0,0,-1.21
40.2,0.336,0.768,0.687,0.019,0,-1.21
39.1,0.352,0.756,0.638,0.163,0,-1.21
37.8,0.363,0.734,0.658,0.326,0,-1.21
36.3,0.369,0.696,0.663,0.285,0,-1.21
34.1,0.372,0.646,0.689,0.099,0,-1.21
33,0.375,0.592,0.756,0.003,0,-1.21
34.2,0.382,0.547,0.702,0.008,0,0.17
34.8,0.394,0.514,0.689,0.128,0,0.17
35,0.412,0.494,0.681,0.315,0,0.17
34.4,0.421,0.482,0.67,0.325,0,0.17
33.5,0.431,0.474,0.724,0.142,0,0.17
33.4,0.449,0.471,0.653,0.011,0,0.17
36.3,0.475,0.48,0.66,0.002,0,0.17
38.8,0.511,0.502,0.698,0.094,0,0.17
41.5,0.554,0.532,0.724,0.294,0,0.17
44.8,0.586,0.566,0.691,0.358,0.013,0.17
45.9,0.603,0.598,0.62,0.192,0.064,0.17
46.4,0.619,0.63,0.636,0.026,0.116,0.17
46.3,0.641,0.657,0.603,0,0.159,0.17
45.9,0.677,0.678,0.624,0.063,0.168,0.17
45.9,0.72,0.696,0.734,0.264,0.142,0.17
46.4,0.76,0.726,0.639,0.381,0.084,0.17
49.8,0.789,0.764,0.65,0.246,0.026,0.17
51.8,0.806,0.807,0.701,0.051,0,0.17
50.5,0.82,0.852,0.709,0,0,0.17
48.3,0.832,0.89,0.686,0.038,0,0.17
46.1,0.843,0.913,0.671,0.227,0,0.17
43.2,0.857,0.925,0.698,0.392,0,0.17
40.2,0.864,0.93,0.697,0.301,0,0.17
38.6,0.866,0.936,0.679,0.085,0,0.17
39.1,0.864,0.944,0.689,0.001,0,0.71
39.2,0.859,0.957,0.693,0.019,0,0.71
39.3,0.852,0.967,0.675,0.186,0,0.71
38.7,0.839,0.974,0.65,0.39,0,0.71
37.4,0.829,0.976,0.662,0.354,0,0.71
37.4,0.825,0.975,0.668,0.13,0,0.71
39.3,0.825,0.972,0.669,0.006,0,0.71
41.5,0.822,0.969,0.675,0.008,0,0.71
44,0.817,0.967,0.686,0.144,0,0.71
46.5,0.805,0.965,0.606,0.375,0.01,0.71
47.1,0.786,0.959,0.567,0.401,0.049,0.71
47.5,0.761,0.952,0.546,0.185,0.092,0.71
47.3,0.733,0.942,0.502,0.017,0.122,0.71
46.9,0.705,0.927,0.563,0.002,0.132,0.71
46.9,0.678,0.914,0.544,0.104,0.109,0.71
47.3,0.64,0.908,0.376,0.347,0.071,0.71
50.2,0.601,0.905,0.514,0.439,0.024,0.71
